               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15725,            0.018696,             0.04237,                   0,                   0,                   0,                   0,             0.14362,            0.013359,            0.038224,              0.0811,              0.0021,              0.0021
                   1,             0.14166,            0.012316,            0.032399,          1.9227e-05,           0.0045045,          9.8169e-06,          4.9084e-06,             0.13232,           0.0097444,            0.028936,            0.061257,           0.0042574,           0.0042574
                   2,             0.13321,            0.011056,            0.017631,          0.00057953,            0.094234,           0.0015356,          0.00033737,             0.12454,           0.0091946,            0.025337,            0.041371,           0.0063713,           0.0063713
                   3,             0.12712,            0.010834,            0.013255,           0.0034621,             0.45508,            0.011987,           0.0019297,             0.11774,           0.0091814,            0.011161,            0.021442,           0.0084416,           0.0084416
                   4,             0.12787,              0.0105,           0.0083142,           0.0064138,             0.62036,            0.020102,           0.0042822,              0.1206,           0.0080948,            0.013477,            0.009604,            0.009604,            0.009604
                   5,             0.11857,            0.010993,           0.0083072,             0.53782,             0.17024,             0.10707,            0.023689,             0.11083,           0.0093712,            0.014233,            0.009604,            0.009604,            0.009604
                   6,             0.12768,           0.0084179,            0.004737,             0.42167,              0.1164,             0.04504,           0.0090332,             0.11585,           0.0082463,            0.010795,            0.009505,            0.009505,            0.009505
                   7,              0.1115,            0.010494,           0.0044852,             0.61942,             0.21076,             0.13012,            0.031063,             0.10884,           0.0088658,           0.0098978,            0.009406,            0.009406,            0.009406
                   8,             0.11263,            0.011531,            0.004512,             0.53401,             0.16929,             0.13124,            0.030201,             0.11339,           0.0079065,            0.011285,            0.009307,            0.009307,            0.009307
                   9,             0.11119,            0.010093,            0.004243,             0.36426,             0.28637,             0.26004,            0.058432,             0.10106,           0.0085708,            0.003864,            0.009208,            0.009208,            0.009208
                  10,             0.10828,           0.0097578,           0.0041482,             0.31709,             0.34883,             0.23374,            0.045015,             0.10113,           0.0078829,            0.004731,            0.009109,            0.009109,            0.009109
                  11,             0.10484,           0.0090705,           0.0044273,             0.16798,             0.36693,             0.18659,            0.051601,             0.10208,           0.0078542,           0.0070678,             0.00901,             0.00901,             0.00901
